speed,time,distance,traffic,
0,0:12:42,10.137593,1464,762
0,0:12:39,10.13648071,1464,759
0,0:12:36,10.13504436,1464,756
0,0:12:33,10.13504436,1464,753
0,0:12:30,10.13504436,1464,750
0,0:12:27,10.13393206,1464,747
0,0:12:24,10.13393206,1464,744
11,0:12:21,10.1283671,1464,741
17,0:12:18,10.11365746,1464,738
24,0:12:15,10.09635489,1464,735
28,0:12:12,10.07360823,1464,732
28,0:12:09,10.04987551,1464,729
19,0:12:06,10.03010243,1464,726
27,0:12:03,10.00744127,1464,723
40,0:12:00,9.979104253,1464,720
46,0:11:57,9.940078462,1464,717
51,0:11:54,9.896689309,1464,714
55,0:11:51,9.848782838,1464,711
52,0:11:48,9.801986819,1464,708
49,0:11:45,9.759631641,1464,705
46,0:11:42,9.71949619,1464,702
34,0:11:39,9.688298843,1464,699
26,0:11:36,9.665886424,1464,696
35,0:11:33,9.636952391,1464,693
42,0:11:30,9.603140837,1464,690
49,0:11:27,9.561975766,1464,687
49,0:11:24,9.519620583,1464,684
45,0:11:21,9.480594783,1464,681
47,0:11:18,9.439439745,1464,678
48,0:11:15,9.398244586,1464,675
47,0:11:12,9.357079514,1464,672
44,0:11:09,9.317036774,1464,669
42,0:11:06,9.282447894,1464,666
40,0:11:03,9.246750069,1464,663
37,0:11:00,9.211351128,1464,660
46,0:10:57,9.167693301,1464,657
49,0:10:54,9.124020551,1464,654
54,0:10:51,9.0788484,1464,651
59,0:10:48,9.028078863,1464,648
61,0:10:45,8.97458382,1464,645
61,0:10:42,8.921088657,1464,642
60,0:10:39,8.867593375,1464,639
56,0:10:36,8.818327096,1464,636
50,0:10:33,8.771868597,1464,633
40,0:10:30,8.733133676,1464,630
26,0:10:27,8.7056796,1464,627
13,0:10:24,8.690875175,1464,624
4,0:10:21,8.683086109,1464,621
0,0:10:18,8.681649689,1464,618
0,0:10:15,8.680537391,1464,615
0,0:10:12,8.680537391,1464,612
0,0:10:09,8.680537391,1464,609
0,0:10:06,8.678719597,1464,606
0,0:10:03,8.678719597,1464,603
1,0:10:00,8.677607298,1464,600
12,0:09:57,8.670569207,1464,597
19,0:09:54,8.655764761,1464,594
31,0:09:51,8.631090663,1464,591
39,0:09:48,8.601481714,1464,588
48,0:09:45,8.56189456,1464,585
54,0:09:42,8.517223802,1464,582
59,0:09:39,8.468419392,1464,579
64,0:09:36,8.414527885,1464,576
70,0:09:33,8.356138581,1464,573
71,0:09:30,8.296314346,1464,570
75,0:09:27,8.232786974,1464,567
77,0:09:24,8.166409563,1464,564
80,0:09:21,8.099152481,1464,561
78,0:09:18,8.031008926,1464,558
76,0:09:15,7.963751548,1464,555
76,0:09:12,7.898116669,1464,552
74,0:09:09,7.832599755,1464,549
70,0:09:06,7.770438016,1464,546
70,0:09:03,7.710165704,1464,543
71,0:09:00,7.648475715,1464,540
76,0:08:57,7.584725794,1464,537
81,0:08:54,7.516729368,1464,534
83,0:08:51,7.443927953,1464,531
84,0:08:48,7.371136803,1464,528
86,0:08:45,7.297667646,1464,525
83,0:08:42,7.223509026,1464,522
82,0:08:39,7.153120441,1464,519
84,0:08:36,7.082122004,1464,516
86,0:08:33,7.007928086,1464,513
88,0:08:30,6.932298603,1464,510
90,0:08:27,6.854912612,1464,507
88,0:08:24,6.778613378,1464,504
87,0:08:21,6.702983788,1464,501
85,0:08:18,6.629511573,1464,498
84,0:08:15,6.556882864,1464,495
82,0:08:12,6.48398227,1464,492
76,0:08:09,6.416630824,1464,489
72,0:08:06,6.353605704,1464,486
69,0:08:03,6.291913693,1464,483
62,0:08:00,6.235056907,1464,480
58,0:07:57,6.1830898,1464,477
44,0:07:54,6.139368561,1464,474
27,0:07:51,6.111427672,1464,471
24,0:07:48,6.085699839,1464,468
22,0:07:45,6.065350896,1464,465
23,0:07:42,6.046246141,1464,462
22,0:07:39,6.025034398,1464,459
13,0:07:36,6.009225179,1464,456
2,0:07:33,5.999050705,1464,453
0,0:07:30,5.997614134,1464,450
0,0:07:27,5.996501836,1464,447
0,0:07:24,5.996501836,1464,444
0,0:07:21,5.996501836,1464,441
0,0:07:18,5.994683563,1464,438
0,0:07:15,5.994683563,1464,435
0,0:07:12,5.994683563,1464,432
0,0:07:09,5.994683563,1464,429
0,0:07:06,5.994683563,1464,426
0,0:07:03,5.994683563,1464,423
0,0:07:00,5.994683563,1464,420
0,0:06:57,5.992865291,1464,417
0,0:06:54,5.992865291,1464,414
4,0:06:51,5.992865291,1464,411
17,0:06:48,5.981742308,1464,408
30,0:06:45,5.960608639,1464,405
35,0:06:42,5.932667745,1464,402
47,0:06:39,5.896785101,1464,399
52,0:06:36,5.854041345,1464,396
58,0:06:33,5.805178165,1464,393
61,0:06:30,5.753300202,1464,390
64,0:06:27,5.698785322,1464,387
68,0:06:24,5.641878825,1464,384
68,0:06:21,5.582308568,1464,381
69,0:06:18,5.523267925,1464,378
67,0:06:15,5.464755825,1464,375
67,0:06:12,5.405715126,1464,372
61,0:06:09,5.350364909,1464,369
63,0:06:06,5.295849842,1464,366
61,0:06:03,5.242044487,1464,363
60,0:06:00,5.189728417,1464,360
60,0:05:57,5.138048262,1464,357
62,0:05:54,5.085643887,1464,354
63,0:05:51,5.031073056,1464,351
58,0:05:48,4.978787128,1464,348
50,0:05:45,4.933101393,1464,345
42,0:05:42,4.892965854,1464,342
29,0:05:39,4.86398898,1464,339
30,0:05:36,4.838917665,1464,336
31,0:05:33,4.812734488,1464,333
35,0:05:30,4.784242711,1464,330
44,0:05:27,4.750135387,1464,327
48,0:05:24,4.710201984,1464,324
56,0:05:21,4.664300402,1464,321
60,0:05:18,4.613339463,1464,318
59,0:05:15,4.562378426,1464,315
48,0:05:12,4.516923494,1464,312
43,0:05:09,4.477359435,1464,309
41,0:05:06,4.4403188,1464,306
39,0:05:03,4.403700024,1464,303
33,0:05:00,4.37463085,1464,300
26,0:04:57,4.349370603,1464,297
27,0:04:54,4.327001586,1464,294
28,0:04:51,4.30216312,1464,291
24,0:04:48,4.281096781,1464,288
23,0:04:45,4.260338025,1464,285
23,0:04:42,4.239579251,1464,282
20,0:04:39,4.222271342,1464,279
23,0:04:36,4.202025468,1464,276
30,0:04:33,4.179136918,1464,273
33,0:04:30,4.150889707,1464,270
36,0:04:27,4.120816131,1464,267
48,0:04:24,4.082446051,1464,264
51,0:04:21,4.039487068,1464,261
58,0:04:18,3.992293222,1464,258
60,0:04:15,3.939214239,1464,255
66,0:04:12,3.884017261,1464,252
69,0:04:09,3.824669665,1464,249
63,0:04:06,3.766529973,1464,246
55,0:04:03,3.717682714,1464,243
53,0:04:00,3.670949315,1464,240
46,0:03:57,3.627989663,1464,237
34,0:03:54,3.595584082,1464,234
29,0:03:51,3.567799942,1464,231
24,0:03:48,3.5454836,1464,228
19,0:03:45,3.529078354,1464,225
22,0:03:42,3.511496117,1464,222
30,0:03:39,3.487792607,1464,219
34,0:03:36,3.459979914,1464,216
38,0:03:33,3.426995687,1464,213
40,0:03:30,3.392620759,1464,210
40,0:03:27,3.357598995,1464,207
40,0:03:24,3.321829761,1464,204
38,0:03:21,3.288845613,1464,201
37,0:03:18,3.25622697,1464,198
36,0:03:15,3.224984699,1464,195
26,0:03:12,3.198387765,1464,192
19,0:03:09,3.179478693,1464,189
14,0:03:06,3.165018815,1464,186
0,0:03:03,3.160569622,1464,183
2,0:03:00,3.159457323,1464,180
11,0:02:57,3.153262879,1464,177
18,0:02:54,3.139183233,1464,174
25,0:02:51,3.119055992,1464,171
29,0:02:48,3.096324262,1464,168
33,0:02:45,3.069175494,1464,165
39,0:02:42,3.036700242,1464,162
35,0:02:39,3.004725597,1464,159
25,0:02:36,2.978944488,1464,156
33,0:02:33,2.954166662,1464,153
45,0:02:30,2.91839747,1464,150
49,0:02:27,2.878427222,1464,147
55,0:02:24,2.832263185,1464,144
58,0:02:21,2.783101031,1464,141
61,0:02:18,2.731538598,1464,138
64,0:02:15,2.677186298,1464,135
63,0:02:12,2.621830267,1464,132
62,0:02:09,2.567477855,1464,129
50,0:02:06,2.517921797,1464,126
46,0:02:03,2.476957598,1464,123
48,0:02:00,2.435993366,1464,120
49,0:01:57,2.394692564,1464,117
50,0:01:54,2.351011953,1464,114
51,0:01:51,2.308077694,1464,111
54,0:01:48,2.262845075,1464,108
56,0:01:45,2.215233644,1464,105
57,0:01:42,2.167739266,1464,102
56,0:01:39,2.119339452,1464,99
55,0:01:36,2.071727946,1464,96
50,0:01:33,2.02529838,1464,93
