line_no,inout_type,stop_no,seq,stop_name,x,y,get_date,input_date
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.0122223,35.2117691,2018-02-07 06:23:57,2018-02-07 06:24:04
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.9352875,35.16749954,2018-02-07 06:43:21,2018-02-07 06:43:27
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354248,35.16902924,2018-02-07 06:43:39,2018-02-07 06:43:48
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9345856,35.17581177,2018-02-07 06:45:54,2018-02-07 06:46:04
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.9334259,35.17721176,2018-02-07 06:46:51,2018-02-07 06:46:57
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.0145264,35.21236038,2018-02-08 06:20:33,2018-02-08 06:20:40
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.0122528,35.21176147,2018-02-08 06:23:57,2018-02-08 06:24:01
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.9352112,35.16738892,2018-02-08 06:43:18,2018-02-08 06:43:25
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354553,35.16905975,2018-02-08 06:43:36,2018-02-08 06:43:41
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9346008,35.17578888,2018-02-08 06:47:18,2018-02-08 06:47:24
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.9332733,35.17728043,2018-02-08 06:48:24,2018-02-08 06:48:27
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.0144958,35.21229935,2018-02-09 06:20:06,2018-02-09 06:20:11
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.0122681,35.21179962,2018-02-09 06:24:15,2018-02-09 06:24:22
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.9351349,35.16730118,2018-02-09 06:43:39,2018-02-09 06:43:48
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354401,35.16921997,2018-02-09 06:44:00,2018-02-09 06:44:09
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9346008,35.17578888,2018-02-09 06:46:54,2018-02-09 06:47:04
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.9333954,35.17723846,2018-02-09 06:47:51,2018-02-09 06:47:55
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.0145264,35.21232986,2018-02-12 06:08:54,2018-02-12 06:09:05
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.0121155,35.21175003,2018-02-12 06:25:33,2018-02-12 06:25:48
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.9351501,35.16735077,2018-02-12 06:45:45,2018-02-12 06:46:02
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354248,35.16928101,2018-02-12 06:46:09,2018-02-12 06:46:23
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9346008,35.17578888,2018-02-12 06:48:54,2018-02-12 06:49:02
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.9334869,35.17721176,2018-02-12 06:49:51,2018-02-12 06:50:02
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.0143127,35.2122612,2018-02-13 06:21:01,2018-02-13 06:21:07
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.0124359,35.21184158,2018-02-13 06:23:10,2018-02-13 06:23:20
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.9351349,35.16728973,2018-02-13 06:40:31,2018-02-13 06:40:36
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354401,35.16913986,2018-02-13 06:40:52,2018-02-13 06:40:57
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9346008,35.17581177,2018-02-13 06:45:31,2018-02-13 06:45:40
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.9334717,35.17721939,2018-02-13 06:46:37,2018-02-13 06:46:45
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.0145111,35.21228027,2018-02-14 06:14:27,2018-02-14 06:14:35
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.0122528,35.21181107,2018-02-14 06:25:27,2018-02-14 06:25:41
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.935257,35.16741943,2018-02-14 06:45:54,2018-02-14 06:46:10
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354706,35.16905975,2018-02-14 06:46:15,2018-02-14 06:46:23
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9346008,35.17578125,2018-02-14 06:50:51,2018-02-14 06:51:01
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.9333038,35.17724991,2018-02-14 06:51:45,2018-02-14 06:51:56
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.0142822,35.21236038,2018-02-19 06:20:10,2018-02-19 06:20:19
